district,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Guwahati,0.941713425,4.881636575,0,0,0,0,0,0.791982604,2.702027396,0,0,0,0,0,0,0
Udalguri,1.02434086,5.30995914,0,0,0,0,0,0.861472418,2.939107582,0,0,0,0,0,0,0
Darjiling,3.02836544,15.69838456,0,0,0,0,0,2.546860522,8.689189478,0,0,0,0,0,0,0
Jalpaiguri,5.699312039,29.543987961,0,0,0,0,0,4.793131187,16.352848813,0,0,0,0,0,0,0
Koch,4.959772641,25.710377359,0,0,0,0,0,4.171177287,14.230912713,0,0,0,0,0,0,0
Uttar Dinajpur,4.448604834,23.060595166,0,0,0,0,0,3.741284285,12.764235715,0,0,0,0,0,0,0
Dakshin Dinajpur,9.766758709,0,0,3.683513576,3.574846242,1.693631472,2.489584314,0,0,3.683513576,0,0,0,1.374638534,3.683513576,0
Maldah,21.789674552,0,0,8.217932317,7.975495096,3.778498035,5.554271748,0,0,8.217932317,0,0,0,3.066823618,8.217932317,0
Murshidabad,12.333351487,63.933398513,0,0,0,0,0,10.372369725,35.387680275,0,0,0,0,0,0,0
Birbhum,6.059043382,31.408756618,0,0,0,0,0,5.095665862,17.385014138,0,0,0,0,0,0,0
Barddhaman,38.8509987,0,0,14.652576706,14.220311041,6.737063553,9.903268814,0,0,14.652576706,0,0,0,5.468147773,14.652576706,0
Nadia,9.522644127,49.363305873,0,0,0,0,0,8.008560021,27.323009979,0,0,0,0,0,0,0
North Twenty Four Parganas,18.598627901,96.411222099,0,0,0,0,0,15.641477921,53.364432079,0,0,0,0,0,0,0
Hugli,9.851900589,51.070099411,0,0,0,0,0,8.28546527,28.26773473,0,0,0,0,0,0,0
Bankura,6.241076012,32.352373988,0,0,0,0,0,5.248755616,17.907314384,0,0,0,0,0,0,0
Puruliya,4.019684435,20.837165565,0,0,0,0,0,3.380561495,11.533548505,0,0,0,0,0,0,0
Pashim,0,18.145257024,41.879442976,0,0,0,0,0,0,0,36.01482,0,0,0,0,0
Howrah,8.757481249,45.396868751,0,0,0,0,0,7.365056731,25.127553269,0,0,0,0,0,0,0
Kolkata,8.578197746,44.467502254,0,0,0,0,0,7.214278997,24.613141003,0,0,0,0,0,0,0
South Twenty Four Parganas,14.394185966,74.616314034,0,0,0,0,0,12.105535052,41.300764948,0,0,0,0,0,0,0
Purba Midanapur,9.679061363,50.174138637,0,0,0,0,0,8.140107185,27.771812815,0,0,0,0,0,0,0
Garhwa,0,1.470642267,3.394257733,0,0,0,0,0,0,0,2.91894,0,0,0,0,0
Palamu,0,1.631418663,3.765331337,0,0,0,0,0,0,0,3.23805,0,0,0,0,0
Chatra,0.568511361,2.947038639,0,0,0,0,0,0.478119028,1.631210972,0,0,0,0,0,0,0
Hazaribagh,2.231142892,11.565757108,0,0,0,0,0,1.876394993,6.401745007,0,0,0,0,0,0,0
Kodarma,1.647363594,0,0,0.621299895,0.602970927,0.285665584,0.419919308,0,0,0.621299895,0,0,0,0.231860901,0.621299895,0
Giridih,7.58724862,0,0,2.861515691,2.777098117,1.315687572,1.93401882,0,0,2.861515691,0,0,0,1.067879798,2.861515691,0
Deoghar,1.043277494,5.408122506,0,0,0,0,0,0.877398159,2.993441841,0,0,0,0,0,0,0
Godda,5.089358502,0,0,1.919441413,1.862815972,0.882534113,1.297297033,0,0,1.919441413,0,0,0,0.716310141,1.919441413,0
Sahibganj,0.400232451,2.074717549,0,0,0,0,0,0.336596177,1.148373823,0,0,0,0,0,0,0
Pakaur,0.887757767,4.601942233,0,0,0,0,0,0.746605802,2.547214198,0,0,0,0,0,0,0
Dumka,1.600501263,8.296648737,0,0,0,0,0,1.346024303,4.592265697,0,0,0,0,0,0,0
Dhanbad,4.092477344,0,0,1.543469671,1.497935773,0.709667213,1.043188196,0,0,1.543469671,0,0,0,0.576002461,1.543469671,0
Bokaro,4.484426012,0,0,1.69129233,1.641397515,0.777634142,1.143097417,0,0,1.69129233,0,0,0,0.631167922,1.69129233,0
Ranchi,6.95907157,0,0,2.624599969,2.547171646,1.206756815,1.773894077,0,0,2.624599969,0,0,0,0.979465985,2.624599969,0
Lohardaga,0,0.844374598,1.948825402,0,0,0,0,0,0,0,1.67592,0,0,0,0,0
Gumla,2.406711963,0,0,0.907686619,0.880908956,0.417342462,0.613480125,0,0,0.907686619,0,0,0,0.338736637,0.907686619,0
Pashchimi Singhbum,1.393758833,7.224941167,0,0,0,0,0,1.172153566,3.999066434,0,0,0,0,0,0,0
Purbi Singhbum,1.245839633,6.458160367,0,0,0,0,0,1.047753265,3.574646735,0,0,0,0,0,0,0
Latehar,0,1.1157764,2.5752236,0,0,0,0,0,0,0,2.2146,0,0,0,0,0
Simdega,0,0.794525904,1.833774096,0,0,0,0,0,0,0,1.57698,0,0,0,0,0
Jamtara,3.321884973,0,0,1.252842295,1.215882194,0.576040538,0.846761241,0,0,1.252842295,0,0,0,0.467544169,1.252842295,0
Seraikela-kharsawan,2.981434352,0,0,1.124442022,1.091269858,0.517003768,0.75997907,0,0,1.124442022,0,0,0,0.419626886,1.124442022,0
Bargarh,2.055991164,10.657808836,0,0,0,0,0,1.729092091,5.899187909,0,0,0,0,0,0,0
Jharsuguda,0.634215494,3.287634506,0,0,0,0,0,0.533376317,1.819733683,0,0,0,0,0,0,0
Sambalpur,3.72682555,0,0,1.405564827,1.364099259,0.646260365,0.949982149,0,0,1.405564827,0,0,0,0.524538198,1.405564827,0
Debagarh,0.385670164,1.999229836,0,0,0,0,0,0.324349268,1.106590732,0,0,0,0,0,0,0
Sundargarh,7.517410589,0,0,2.835176417,2.751535877,1.303577117,1.916216837,0,0,2.835176417,0,0,0,1.058050329,2.835176417,0
Kendujhar,6.473205489,0,0,2.441356545,2.369334086,1.12250388,1.650044946,0,0,2.441356545,0,0,0,0.911081964,2.441356545,0
Mayurbhanj,9.317285625,0,0,3.513995699,3.410329312,1.615689365,2.375011898,0,0,3.513995699,0,0,0,1.311376705,3.513995699,0
