District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan,Cluster
Sitapur,"1,031",13.79195185,40.333178000000004,0.0,2.9,2.43,0.0,0.0,0.0,2.06,0.57,1.15,1.49,1.97,1.21,0.0,0.77,2
Hardoi,"1,054",13.699317249999998,40.06584635,2.5,0.0,2.03,0.0,0.0,0.0,2.02,0.75,1.22,1.37,1.81,5.0,1.0,0.88,2
Unnao,843,13.269672449999998,40.24390975,0.0,0.0,2.21,0.0,0.0,0.0,1.84,0.73,0.91,1.43,1.72,0.0,1.89,0.72,2
Lucknow,"1,350",13.423346849999998,40.473083,5.0,0.0,0.9,0.0,0.0,0.0,1.97,0.59,0.83,0.97,1.6,0.0,0.42,0.67,2
Rae Bareli,"1,018",13.1172649,40.62043445,2.18,2.31,0.0,0.1,0.32,0.0,2.46,0.83,0.87,0.81,2.04,2.0,0.25,0.43,2
Farrukhabad,"1,076",13.691306299999999,39.7970272,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.59,0.63,0.82,0.98,0.0,0.0,0.81,2
Kannauj,"1,124",13.525707800000001,39.95683655,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.71,0.78,0.93,0.5,0.0,0.0,1.11,2
Etawah,981,13.405855800000001,39.5023449,0.0,3.91,1.0,0.0,0.0,0.0,0.88,0.65,0.72,0.46,0.49,0.0,0.69,0.74,2
Auraiya,"1,258",13.231297849999999,39.75487745000001,0.0,3.31,3.0,1.0,0.0,0.0,1.07,0.84,0.72,0.43,0.86,0.0,0.75,0.72,2
Kanpur Dehat,"1,144",13.263353500000001,39.914837150000004,0.0,5.27,1.03,0.0,0.0,0.0,2.48,1.04,0.62,0.7,0.5,0.0,0.21,0.62,2
Kanpur Nagar,"1,400",13.207412249999999,40.116065649999996,0.0,2.45,1.74,0.0,0.0,0.0,2.14,0.76,0.75,0.7,4.67,0.0,0.5,0.93,2
Jalaun,"1,274",13.072932449999998,39.66482825,0.0,0.0,0.0,0.0,0.0,0.0,2.66,1.34,1.35,1.45,1.93,0.0,0.0,0.72,2
Jhansi,"1,393",12.724212849999999,39.284229700000004,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.93,1.1,1.07,1.44,0.0,0.0,1.07,2
Lalitpur,"1,033",12.343929849999999,39.206010299999996,0.0,0.0,0.0,0.0,0.0,0.0,2.12,1.66,1.75,1.23,1.04,0.0,0.0,1.09,2
Hamirpur,"1,314",12.97740215,40.076313549999995,0.0,0.25,0.42,0.0,0.0,0.0,2.33,0.86,1.14,0.52,1.48,0.0,0.0,0.71,2
Mahoba,951,12.6460482,39.9362084,0.0,0.0,0.0,0.0,0.0,0.0,2.11,1.08,1.15,1.37,1.26,0.0,0.0,0.86,2
Banda,790,12.7398112,40.16901065,0.0,3.47,4.97,0.0,0.0,0.0,1.87,1.1,1.08,1.37,1.53,2.0,0.0,0.44,2
Chitrakoot,"1,038",12.5546846,40.53773285,1.0,3.89,5.0,0.0,0.4,0.0,1.82,0.6,0.89,0.6,1.79,0.0,0.56,0.29,2
Fatehpur,837,12.960036800000001,40.40499705,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.14,1.03,0.81,0.66,1.0,0.0,0.35,2
