District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan
Meerut,"1,821",28.9844618,77.7064137,0.00,1.96,2.55,0.00,0.00,0.00,0.81,0.54,1.12,0.85,0.72,0.00,0.60,0.95
Baghpat,"2,310",28.9421618,77.2261452,0.00,0.00,3.55,0.00,0.00,0.00,0.72,0.42,1.51,1.41,3.00,0.00,1.00,0.68
Ghaziabad,"2,290",28.6691565,77.4537578,0.00,0.00,2.19,0.00,0.00,0.00,0.94,0.77,0.92,0.78,0.25,0.00,0.54,0.68
Gautam Buddha Nagar,"2,146",28.358983,77.550762,0.00,0.00,1.14,0.00,0.00,0.00,0.73,0.53,1.13,0.77,0.81,0.00,0.83,0.63
Bulandshahar,"1,316",28.406963,77.8498292,0.00,11.52,11.12,0.00,0.00,0.00,1.17,0.56,0.95,0.77,1.00,0.00,0.00,0.69
Aligarh,"1,307",27.8973944,78.0880129,80.00,12.56,4.20,0.00,0.00,0.00,1.27,0.84,1.04,0.79,1.04,0.00,0.00,0.71
Hathras,"1,316",27.6056212,78.0537813,0.00,1.00,0.00,0.00,0.00,0.00,1.15,0.60,1.03,0.82,1.10,0.00,0.00,0.78
Mathura,"1,236",27.4924134,77.673673,1.00,4.94,0.50,0.00,0.00,0.00,0.76,0.67,0.57,0.48,0.53,0.00,0.00,0.59
Agra,"1,096",27.1766701,78.0080745,6.85,6.20,0.57,0.00,0.00,0.00,0.97,0.59,0.58,0.51,1.01,0.00,0.00,0.59
Firozabad,"1,109",27.1591006,78.3957574,2.00,6.36,0.00,0.00,0.00,0.00,1.14,0.78,0.79,0.61,1.21,0.00,0.53,0.69
Etah,"1,582",27.5587505,78.662567,0.00,19.60,1.81,0.00,0.00,0.00,1.27,0.57,0.87,0.78,1.10,0.00,0.00,0.77
Mainpuri,819,27.2284986,79.0249516,0.00,2.27,38.64,0.00,0.00,0.00,0.91,0.65,0.56,0.69,0.50,0.00,0.50,0.53
Budaun,994,28.0337088,79.1205419,0.00,16.07,4.35,0.00,0.00,0.00,1.30,0.95,1.42,1.60,1.65,0.00,0.50,0.70
Bareilly,"1,169",28.3670355,79.4304381,2.50,0.00,2.00,0.00,0.00,0.00,1.36,0.65,1.11,1.33,1.51,0.00,0.50,0.66
Pilibhit,991,28.6207939,79.8128649,0.50,0.00,0.00,0.00,0.00,0.00,1.29,0.90,1.53,1.01,1.30,0.00,0.50,0.56
Shahjahanpur,"1,003",27.883744,79.9122455,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.77,1.25,1.06,1.22,0.00,0.10,0.57
Kheri,896,28.16514,80.6326916,0.00,0.00,2.00,0.00,0.00,0.00,1.56,0.85,1.11,0.99,1.24,2.00,0.00,0.83
Sitapur,"1,031",27.5839037,80.666356,0.00,2.90,2.43,0.00,0.00,0.00,2.06,0.57,1.15,1.49,1.97,1.21,0.00,0.77
Hardoi,"1,054",27.3986345,80.1316927,2.50,0.00,2.03,0.00,0.00,0.00,2.02,0.75,1.22,1.37,1.81,5.00,1.00,0.88
Unnao,843,26.5393449,80.4878195,0.00,0.00,2.21,0.00,0.00,0.00,1.84,0.73,0.91,1.43,1.72,0.00,1.89,0.72
Lucknow,"1,350",26.8466937,80.946166,5.00,0.00,0.90,0.00,0.00,0.00,1.97,0.59,0.83,0.97,1.60,0.00,0.42,0.67
Rae Bareli,"1,018",26.2345298,81.2408689,2.18,2.31,0.00,0.10,0.32,0.00,2.46,0.83,0.87,0.81,2.04,2.00,0.25,0.43
Farrukhabad,"1,076",27.3826126,79.5940544,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.59,0.63,0.82,0.98,0.00,0.00,0.81
Kannauj,"1,124",27.0514156,79.9136731,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.71,0.78,0.93,0.50,0.00,0.00,1.11
Etawah,981,26.8117116,79.0046898,0.00,3.91,1.00,0.00,0.00,0.00,0.88,0.65,0.72,0.46,0.49,0.00,0.69,0.74
Auraiya,"1,258",26.4625957,79.5097549,0.00,3.31,3.00,1.00,0.00,0.00,1.07,0.84,0.72,0.43,0.86,0.00,0.75,0.72
Kanpur Dehat,"1,144",26.526707,79.8296743,0.00,5.27,1.03,0.00,0.00,0.00,2.48,1.04,0.62,0.70,0.50,0.00,0.21,0.62
Kanpur Nagar,"1,400",26.4148245,80.2321313,0.00,2.45,1.74,0.00,0.00,0.00,2.14,0.76,0.75,0.70,4.67,0.00,0.50,0.93
Jalaun,"1,274",26.1458649,79.3296565,0.00,0.00,0.00,0.00,0.00,0.00,2.66,1.34,1.35,1.45,1.93,0.00,0.00,0.72
Jhansi,"1,393",25.4484257,78.5684594,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0.93,1.10,1.07,1.44,0.00,0.00,1.07
Lalitpur,"1,033",24.6878597,78.4120206,0.00,0.00,0.00,0.00,0.00,0.00,2.12,1.66,1.75,1.23,1.04,0.00,0.00,1.09
Hamirpur,"1,314",25.9548043,80.1526271,0.00,0.25,0.42,0.00,0.00,0.00,2.33,0.86,1.14,0.52,1.48,0.00,0.00,0.71
Mahoba,951,25.2920964,79.8724168,0.00,0.00,0.00,0.00,0.00,0.00,2.11,1.08,1.15,1.37,1.26,0.00,0.00,0.86
