District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,"arha, tur",moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Belgaum,-0.040429696,15.8496953,74.4976741,1.299582,-0.246341845,0.987968691,-0.207659596,0.066488083,0.233864676,-0.024226339,-0.199869043,-0.667693578,-0.73776472,-0.324365573,0.156312428,-0.474006778,-0.211943826,-0.220484678,0.021230401
Bagalkot,-0.626036987,16.1725355,75.6557206,1.459741766,-0.116109439,0.043837486,-0.207659596,-0.166393773,0.706787908,0.138235262,-0.136783752,-0.529866502,-0.854031867,-0.101032393,-0.602345242,-0.629372818,0.062453846,-0.455712447,-0.005454751
Bijapur,-0.453034765,16.8298805,75.6825177,1.470019381,0.324382888,-0.151364382,-0.207659596,-0.166393773,0.926514006,0.18421695,-0.397475467,-0.673766654,-0.916875028,-0.278581881,1.721274013,-0.611267463,-0.169578501,-0.274856846,0.038499242
Gulbarga,-0.392389544,17.329731,76.8342957,2.225899986,0.651614047,-0.495215578,-0.207659596,-0.166393773,-0.339358608,2.614990173,-0.128908734,-0.195918878,-0.369885483,0.086519278,-0.602345242,-0.454624294,-0.663258617,-0.030744348,0.750332954
Bidar,-0.442558003,17.9148799,77.5046101,1.88367904,-0.091674847,-0.495215578,-0.207659596,-0.166393773,-0.339358608,2.147760984,0.368864925,0.418047073,0.096846051,-1.084589471,-0.602345242,-1.204195558,-0.663258617,0.574931048,0.543243779
Raichur,-0.549504182,16.2120031,77.3439283,1.516703682,3.902410011,-0.495215578,-0.207659596,-0.166393773,1.512635747,1.60939921,-0.874699364,-0.778905979,-0.673356536,-0.443330254,-0.602345242,-0.629500364,0.107133571,-0.938833474,-0.23320075
Koppal,-0.595587262,15.3507081,76.1554311,2.192238211,1.181324678,-0.495215578,-0.207659596,-0.166393773,0.879347162,1.293097341,-0.572063026,-1.243188219,-0.802966028,-1.084589471,-0.602345242,-0.376704129,0.178457317,0.702258351,-0.184981536
Gadag,-0.063216897,15.4324651,75.6380337,0.853999953,0.19887205,-0.495215578,-0.207659596,-0.166393773,0.051938231,-0.135366189,-0.126003519,-1.748309403,-0.985082546,-0.085671297,-0.021440428,-0.208893183,-0.234924709,-0.262617941,0.03107119
Dharwad,0.277975612,15.4589236,75.007808,1.2566661,0.123251412,-0.495215578,-0.207659596,-0.166393773,0.632032498,0.60465394,-0.102002782,1.980625487,-0.597139518,-0.466439165,0.196769294,-0.058007914,0.698230725,-0.659077117,0.447948129
Uttara,0.0697667,14.7937065,74.6868815,1.038905923,-0.406093059,-0.495215578,-0.207659596,-0.166393773,1.157851627,-0.334234026,-0.464079834,-1.000749288,-0.521557494,-0.569946523,-0.602345242,-0.274804613,0.262600129,-0.275563752,-0.207963745
