District,rice-om,wheat-om
East Godavari,22.40,1.20
West Godavari,27.41,1.36
Krishna,25.62,1.79
Guntur,22.77,1.44
Prakasam,33.40,1.28
Nellore,32.19,1.27
Cuddapah,26.73,1.78
Kurnool,19.99,1.90
Anantapur,26.26,2.38
Chittoor,26.98,1.77
Belgaum,11.83,8.37
Bagalkot,12.79,7.56
Bijapur,12.42,9.23
Gulbarga,17.15,5.61
Bidar,16.05,4.32
Raichur,20.67,4.61
Koppal,23.44,4.51
Gadag,10.84,4.08
Dharwad,14.18,6.15
Uttara,18.70,4.40
Haveri,25.82,4.17
Bellary,17.99,4.15
Chitradurga,13.98,3.45
Davanagere,13.79,4.19
Shimoga,19.76,3.57
Udupi,24.26,2.61
Chikmagalur,17.11,2.45
Tumkur,13.60,3.04
Kolar,19.40,5.81
Bangalore,19.09,5.62
Bangalore Rural,17.84,2.36
Mandya,19.28,3.60
Hassan,18.06,3.46
Dakshina Kannada,32.04,4.11
Kodagu,22.33,5.45
Mysore,18.49,3.39
Chamarajanagar,22.14,4.09
Ramanagar,14.79,3.45
Chikkaballapura,20.02,3.79
North Goa,19.17,5.92
South Goa,20.15,6.86
Lakshadweep,13.61,4.94
Kasaragod,16.70,3.08
Kannur,25.54,2.89
Wayanad,18.03,2.33
Kozhikode,22.91,2.56
Malappuram,23.59,2.79
Palakkad,28.61,2.33
Thrissur,22.25,2.66
Ernakulam,17.99,3.15
Idukki,22.36,5.52
Kottayam,21.76,4.29
Alappuzha,16.61,3.29
Pathanamthitta,16.97,4.33
Kollam,18.16,2.83
Thiruvananthapuram,17.15,3.33
Thiruvallur,19.15,2.71
Chennai,16.93,3.69
Kancheepuram,17.02,2.12
Vellore,17.09,2.96
Dharmapuri,16.84,1.11
Tiruvannamalai,17.19,1.95
Viluppuram,14.37,1.51
Salem,19.90,2.22
Namakkal,20.74,2.37
Erode,14.78,3.16
The Nilgiris,14.74,2.64
Coimbatore,14.74,3.21
Dindigul,18.61,2.31
Karur,24.87,3.91
Tiruchirappalli,26.40,2.08
Perambalur,25.70,2.45
Ariyalur,22.91,1.56
Cuddalore,16.59,1.56
Nagapattinam,21.54,1.31
Thiruvarur,16.78,1.80
Thanjavur,20.44,2.10
Pudukkottai,25.68,2.22
Sivaganga,24.04,1.17
Madurai,19.20,2.32
Theni,18.51,1.69
Virudhunagar,20.77,2.55
Ramanathapuram,26.32,1.74
Thoothukkudi,16.26,1.38
Tirunelveli,16.52,1.85
Kanniyakumari,11.72,1.99
Krishnagiri,19.52,2.31
Yanam,17.44,1.30
Pondicherry,20.03,2.88
Mahe,29.47,2.19
Karaikal,20.73,3.76
South Andamans,17.27,6.66
Nicobars,15.13,5.84
North and Middle Andamans,28.30,5.16
